Rank,Common Name,Kingdom,Phylum,Class,Mirorder,Order,Parvorder,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Species,Subspecies
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Australopithecina,Australopithecus,Australopithecus garhi,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Australopithecina,Australopithecus,Australopithecus sediba,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Australopithecina,Australopithecus,†Australopithecus anamensis,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Australopithecina,Australopithecus,†Australopithecus bahrelghazali,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Australopithecina,†Paranthropus,,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Australopithecina,†Paranthropus,†P. aethiopicus,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Australopithecina,†Paranthropus,†P. boisei,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Australopithecina,†Paranthropus,†P. robustus,
Subtribe,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Panina,,,
Genus,Chimpanzees and bonobos,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Panina,Pan,,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Panina,Pan,P. troglodytes,
Subspecies,Nigeria-Cameroon chimpanzee,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Panina,Pan,P. troglodytes,P. t. ellioti
Subspecies,Eastern chimpanzee,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Panina,Pan,P. troglodytes,P. t. schweinfurthii
Subspecies,Central chimpanzee,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Panina,Pan,P. troglodytes,P. t. troglodytes
Subspecies,Western chimpanzee,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Panina,Pan,P. troglodytes,P. t. verus
Species,Bonobo,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Panina,Pan,Pan paniscus,
Species,Chimpanzee,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Panina,Pan,Pan troglodytes,
Subtribe,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Hominina,,,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Hominina,†Ardipithecus,,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Hominina,†Ardipithecus,†A. kadabba,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,Hominina,†Ardipithecus,†A. ramidus,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,†Orrorin,,
Species,Orrorin,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,†Orrorin,†O. tugenensis,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Hominini,,†Kenyanthropus,,
Tribe,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Gorillini,,,,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Gorillini,,Gorilla,,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Gorillini,,Gorilla,G. beringei,
Subspecies,Mountain gorilla,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Gorillini,,Gorilla,G. beringei,G. b. beringei
Subspecies,Eastern lowland gorilla,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Gorillini,,Gorilla,G. beringei,G. b. graueri
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Gorillini,,Gorilla,G. gorilla,
Subspecies,Cross River gorilla,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Gorillini,,Gorilla,G. gorilla,G. g. diehli
Subspecies,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Gorillini,,Gorilla,G. gorilla,G. g. gorilla
Species,Eastern gorilla,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Gorillini,,Gorilla,Gorilla beringei,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Gorillini,,Gorilla,Gorilla gorilla,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Gorillini,,†Chororapithecus,,
Species,Chororapithecus,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,Gorillini,,†Chororapithecus,†C. abyssinicus,
Tribe,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,†Graecopithecini,,,,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,†Graecopithecini,,†Ouranopithecus,,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,†Graecopithecini,,†Ouranopithecus,†O. macedoniensis,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,†Graecopithecini,,†Ouranopithecus,†O. turkae,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,†Graecopithecini,,†Graecopithecus,,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,,,†Sahelanthropus,,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,,,†Sahelanthropus,†S. tchadensis,
Subfamily,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Ponginae,,,,,
Tribe,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Ponginae,†Sivapithecini,,,,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Ponginae,†Sivapithecini,,†Ankarapithecus,,
Species,Ankarapithecus,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Ponginae,†Sivapithecini,,†Ankarapithecus,†A. meteai,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Ponginae,†Sivapithecini,,†Gigantopithecus,,
Species,Gigantopithecus,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Ponginae,†Sivapithecini,,†Gigantopithecus,†G. blacki,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Ponginae,†Sivapithecini,,†Sivapithecus,,
Genus,Orangutans,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Ponginae,,,Pongo,,
Species,Sumatran orangutan,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Ponginae,,,Pongo,Pongo abelii,
Species,Bornean orangutan,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Ponginae,,,Pongo,Pongo pygmaeus,
Species,Tapanuli orangutan,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Ponginae,,,Pongo,Pongo tapanuliensis,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Ponginae,,,Pongo,†Pongo hooijeri,
Tribe,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Ponginae,Pongini,,,,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,Ponginae,Pongini,,†Khoratpithecus,,
Subfamily,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,†Dryopithecinae,,,,,
Tribe,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,†Dryopithecinae,†Kenyapithecini,,,,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,†Dryopithecinae,†Kenyapithecini,,†Griphopithecus,,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,†Dryopithecinae,†Kenyapithecini,,†Griphopithecus,†G. alpani,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,†Dryopithecinae,†Kenyapithecini,,†Griphopithecus,†G. suessi,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,†Dryopithecinae,†Kenyapithecini,,†Kenyapithecus,,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,†Dryopithecinae,†Kenyapithecini,,†Kenyapithecus,†K. wickeri,
Tribe,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,†Dryopithecinae,†Afropithecini,,,,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,†Dryopithecinae,†Afropithecini,,†Otavipithecus,,
Species,Otavipithecus,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,†Dryopithecinae,†Afropithecini,,†Otavipithecus,†O. namibiensis,
Tribe,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,,†Dryopithecini,,,,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,,†Dryopithecini,,†Anoiapithecus,,
Species,Anoiapithecus,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,,†Dryopithecini,,†Anoiapithecus,†A. brevirostris,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,,†Dryopithecini,,†Danuvius,,
Species,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,,†Dryopithecini,,†Danuvius,†D. guggenmosi,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,,†Dryopithecini,,†Rudapithecus,,
Species,Rudapithecus,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,,†Dryopithecini,,†Rudapithecus,†R. hungaricus,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,,†Dryopithecini,,†Dryopithecus,,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,,,,†Nakalipithecus,,
Species,Nakalipithecus,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,,,,†Nakalipithecus,†N. nakayamai,
Tribe,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,,†Lufengpithecini,,,,
Genus,,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hominidae,,†Lufengpithecini,,†Lufengpithecus,,
Family,Gibbons,Animalia,Chordata,Mammalia,Primatomorpha,Primates,Catarrhini,Haplorhini,Simiiformes,Hominoidea,Hylobatidae,,,,,,
